"Country","Year","Monday Beta","Monday P-value","Friday Beta","Friday P-value","January Beta","January P-value","April Beta","April P-value","December Beta","December P-value","Halloween Beta","Halloween P-value","CES A","CES B","CES C"
"Norway",2010,0.4067702160217,0.0631946457361365,-0.0589716708232999,0.786963403188417,-0.160857527771454,0.608538253823243,0.0825951002378456,0.797196605818992,0.463666507632969,0.132033129133322,0.0733449417679769,0.663522459543319,0,0,0
"Norway",2011,-0.393784877159088,0.121460027874372,0.197874586658056,0.428695369869004,-0.00721309962362435,0.983945221730307,0.0933778990528389,0.808102410253771,0.114925395076587,0.748525061120937,0.148617610378127,0.446727063746712,0,0,0
"Norway",2012,-0.155706218817197,0.367389365381184,0.0761724645249971,0.654217251309713,0.0530420675595781,0.823020884299899,-0.115089337927851,0.657750116826598,0.00386098246637368,0.988446494947692,0.0487538622408968,0.713199090201808,0,0,0
"Norway",2013,-0.0838221670458574,0.433694393371084,0.0896613887987123,0.40239723285512,0.150000327741568,0.311414916869764,-0.0128654253141312,0.932169422459189,0.0273988046383726,0.865770003085168,0.00201306458576799,0.980682679902656,0,0,0
"Norway",2014,0.0501979508044646,0.743311143360579,0.0118915781084941,0.938159015280611,-0.0922617489330636,0.662678122018977,0.173312968540261,0.443288680260649,0.0599406420848457,0.790787813703744,0.0249727297411467,0.833180990411026,0,0,0
"Norway",2015,-0.334547356514522,0.0660346535461924,-0.241117176293491,0.187850919839305,0.117515258186095,0.648467216455305,0.233606241847899,0.386685062348064,-0.160634458976924,0.542199333174556,0.132090445616733,0.34971236139639,0,0,0
"Norway",2016,-0.184667633124398,0.380411900521717,0.111098370851366,0.591977915404889,-0.435139545266611,0.148854356545387,0.179390651806201,0.542232191415118,0.162641376544459,0.580554018399339,0.035839526277855,0.824134348980574,0,0,0
"Peru",1992,0.112798940011797,0.797398939256359,0.247153203350629,0.567616288582042,-0.0859823520224372,0.881069814908504,-0.919634063281425,0.126140433174169,1.92823633667543,0.00146642526648347,0.485803402959712,0.142595486675554,1,1.92823633667543,0.321372722779238
"Peru",1993,0.30037957052434,0.334467116031938,0.604472376239567,0.0509683904598564,-1.14847719118013,0.0134379512858196,-0.389518649917602,0.376526502243653,0.0279624909608298,0.94712508652051,-0.47947722607928,0.0444230518147677,3,0.744142264499657,0.372071132249829
"Peru",1994,0.370781387133773,0.0985259000654777,0.191498804877483,0.39947942526391,0.65196922515743,0.0406954177493459,-0.518743384544565,0.110580096581325,-0.23319238551248,0.462504600225205,-0.213712020183342,0.223725898640806,1,0.65196922515743,0.108661537526238
"Peru",1995,0.1777212540874,0.586801966771458,0.559433123484984,0.0903852061895042,-0.88849869511273,0.043814956306507,1.68236879856198,0.000545274365135245,0.168130703237331,0.72000091784378,0.0631295556842534,0.804034074990404,2,1.28543374683736,0.428477915612452
"Peru",1996,0.322434732289598,0.0465052903163225,0.567412735475116,0.00061697785381701,0.0453014381998254,0.844274082604995,0.217604285673242,0.366429991969481,-0.0542950970986991,0.821567929366839,-0.16879445882411,0.188380358648158,2,0.444923733882357,0.148307911294119
"Peru",1997,-0.0993564594962882,0.616922587215112,0.275270628875754,0.163382164580714,0.292030429052381,0.28941506509266,0.174527260308919,0.526342022613915,-0.0167140099710945,0.95362385381053,0.09586086220944,0.533664525306271,0,0,0
"Peru",1998,0.0381384192154428,0.882872618708392,0.509965175735694,0.0497324152803436,-0.399696854189792,0.265860094082557,0.580319091208723,0.114501482319171,-0.819587624080791,0.0297933650963665,0.453962665258985,0.0233624828454451,3,0.594505155025157,0.297252577512578
"Peru",1999,-0.173852765269219,0.280471234855977,0.261317021684054,0.113532989034503,-0.168849752195584,0.467804278816354,0.448139025299544,0.0547630795145996,-0.0686022313289923,0.767899284509808,0.115948805054666,0.357795851894601,0,0,0
"Peru",2000,-0.288831152765992,0.0799678908493439,0.019790605966267,0.905673111894845,0.171314773658204,0.462778994458983,0.0824025446541166,0.741815684661472,0.245400556349398,0.326951129675061,0.0539228772949507,0.674097190630083,0,0,0
"Peru",2001,-0.0331627130041628,0.805068271902397,0.139844193360812,0.294755569405568,0.280684929917105,0.122988459191895,-0.303072768224835,0.119066785475354,0.0594173658237079,0.76504061339739,0.0574287272805899,0.577367438876987,0,0,0
